,,,,,
,marker,gene symbol,gene ID,uniprot ID,annot
,pStat1,STAT1,11362,P42224,measured
,pStat3,STAT3,11364,P40763,measured
,pStat4,STAT4,11365,Q14765,measured
,pS6,RPS6,10429,P62753,measured
,pERK1/2,MAPK3,6877/6871,P27361,measured
,pMAPKAPK2,MAPKAPK2,6887,P49137,measured
,pAkt,AKT1,391,P31749,measured
,pNF-kB_p65,NFKB1_RELA,7794_9955,COMPLEX:P19838_Q04206,measured
,pCREB,CREB1,2345,P16220,measured
,pSHP2,PTPN11,9644,Q06124,measured
,IRF5,IRF5,6120,Q13568,measured
,TBK1,TBK1,11584,Q9UHD2,measured
,TRAF6,TRAF6,12036,Q9Y4K3,measured
,TLR9,TLR9,15633,Q9NR96,estimulated
,TLR7,TLR7,15631,Q9NYK1,estimulated
